#;Phylum;Class;Order;Family;Species;Ecology;Source;Occurrence;Location;Remarks;Synonyms;Size;;;;;;;;
1;Phytoplankton;;;;;;;;;;;;;;;;;;;
2;Bacterioplankton;;;;;;;;;;;;;;;;;;;
3;Suspended organic matter;;;;;;;;;;;;;;;;;;;
4;Benthic detritus;;;;;;;;;;;;;;;;;;;
5;Zooplancton;;;;;;;;;;;;;;;;;;;
6;Algae;;;;Chaetocladid;;Van Roy et al., 2015;Rare;;;;;;;;;;;;
7;Algae;;;;Alga type 1;;Van Roy et al., 2015;Rare;;;;;;;;;;;;
8;Algae;;;;Alga type2;;Van Roy et al., 2015;Locally common;;;;;;;;;;;;
10;Porifera;-;-;Wapkidae;Wapkiids;;Van Roy et al., 2015;Locally ommon;;;;;;;;;;;;
11;Porifera;Demospongea;Protomonaxonida;Leptomtidae;Leptomitids;sessile, suspension feeder (demospongea);Van Roy et al., 2015;Locally common;;;;;;;;;;;;
12;Porifera;Demospongea;Protomonaxonida;Leptomtidae;leptomitid A;sessile, suspension feeder (demospongea);Botting, 2016;only a few from the family;;complex, mutli-layered;;;;;;;;;;
13;Porifera;Demospongea;Protomonaxonida;Leptomtidae;leptomitid B;sessile, suspension feeder (demospongea);Botting, 2016;multiple specimens;;simpler;;;;;;;;;;
14;Porifera;Demospongea;Protomonaxonida;Choiidae;Choia sp.;sessile, suspension feeder (demospongea);Botting, 2016, Van Roy et al., 2015, Botting, 2007;Common  - Locally abundant;Upper Fezouata Shale;Youngest occurrence;;40 mm;;;;;;;;
15;Porifera;Demospongea;Protomonaxonida;Choiidae;Choia sp. B;sessile, suspension feeder (demospongea);Botting, 2016;;;;;;;;;;;;;
16;Porifera;Demospongea;Protomonaxonida;Choiidae;Choiaella sp.;sessile, suspension feeder (demospongea);Botting, 2016;;;;;;;;;;;;;
17;Porifera;Demospongea;Protomonaxonida;Choiidae;Choiid A;sessile, suspension feeder (demospongea);Botting, 2016;;;poorly known species;;;;;;;;;;
18;Porifera;Demospongea;Protomonaxonida;Choiidae;Choiid B;sessile, suspension feeder (demospongea);Botting, 2016;;;;;;;;;Yale Peabody Museum : Choiidae : 6 mm, ~50 mm?;;;;
19;Porifera;Demospongea;Protomonaxonida;Choiidae;Choiid C;sessile, suspension feeder (demospongea);Botting, 2016;one specimen;;associated with dense layers of Araneograptus murrayi;;;;;;;;;;
20;Porifera;Demospongea;Protomonaxonida;Choiidae;Choiid 2;sessile, suspension feeder (demospongea);Van Roy et al., 2015;Common  - Locally abundant;;;;;;;;;;;;
21;Porifera;Demospongea;Protomonaxonida;Hamptoniidae;Hamptonia sp.;sessile, suspension feeder (demospongea);Botting, 2016;one specimen;;partial specimen;;10 cm diameter (7-25 mm length);;;;;;;;
22;Porifera;Demospongea;Protomonaxonida;Piraniidae;Pirania auraeum;sessile, suspension feeder (demospongea);Van Roy et al., 2015, Botting, 2016, Botting, 2007;Common  - Locally abundant;Upper Fezouata Shale;;Auraeopirania auraeum (new genus name, Botting et al., 2019);34 mm;;;;;;;;
23;Porifera;Demospongea;Protomonaxonida;Piraniidae;Pellipirania gloria;;Botting et al., 2019;;Lower Fezouata Shale;;;84 mm tall, 40 mm wide;;;;;;;;
24;Porifera;Demospongea;Protomonaxonida;Piraniidae;piraniid A;sessile, suspension feeder (demospongea);Botting, 2016;;;poorly preserved;;;;;;;;;;
25;Porifera;Demospongea;Protomonaxonida;Hamptoniidae;Hamptonia' christi;sessile, suspension feeder (demospongea);Van Roy et al., 2015, Botting, 2016, Botting, 2007;Common  - Locally abundant;Upper Fezouata Formation;Youngest occurrence, needs to be redescribed with new genus, probably represents a range of species;;5 mm;;;;;;;;
26;Porifera;Demospongea;Protomonaxonida;Undetermined;undetermined;sessile, suspension feeder (demospongea);Botting, 2016;;;not in feeding list;;;;;;;;;;
27;Porifera;Demospongea;-;Hazeliidae;hazeliid;sessile, suspension feeder (demospongea);;;;one species;;;;;;;;;;
28;Porifera;Hexactinellida;Reticulosa;-;Hexactinellids;;Van Roy et al., 2015;Rare;;;;~26 mm;;;;;;;;
29;Porifera;Hexactinellida;Reticulosa;-;species ressembling Valospongia;;Botting, 2016;;;;;;;;;;;;;
30;Porifera;Hexactinellida;Reticulosa;-;reticulosan A;;Botting, 2016;;;;;;;;;;;;;
31;Porifera;Hexactinellida;Reticulosa;-;reticulosan B;;Botting, 2016;;;;;;;;;;;;;
32;Porifera;Hexactinellida;Reticulosa;-;reticulosan C;;Botting, 2016;;;;;;;;;;;;;
33;Porifera;Hexactinellida;Reticulosa;-;reticulosan D;;Botting, 2016;;;;;;;;;;;;;
34;Porifera;Hexactinellida;Reticulosa;-;reticulosan E;;Botting, 2016;;;;;;;;;;;;;
35;Porifera;-;monaxonid;;undetermined sponge A;;Botting, 2016;;;not in feeding list;;;;;;;;;;
36;Porifera;-;;;undetermined sponge B;;Botting, 2016;;;not in feeding list, poorly preserved specimen, broadly annulated, thick-walled;;;;;;;;;;
37;Porifera;-;;;undetermined sponge C;;Botting, 2016;;Lower Fezouata Formation because of A. murrayi ?;not in feeding list, poorly preserved, in dense assemblage of A. murrayi;;;;;;;;;;
38;Cnidaria;Hydrozoa ?;Leptomedusae ?;Insertae ?;Plumalina-like form;epibenthic;Van Roy et al., 2015;Rare;;Earliest occurrence, not cnidarian (see Muir et Gutierrez-Marco, 2023);;;;;;;;;;
39;Cnidaria;Scyphozoa (Sub-phylum Medusozoa);;Conulariida;Archaeoconularia sp.;sessile, benthic, filter-feeding;Van Iten et al., 2016, Lefebvre et al., 2016 (indet.), Van Roy et al., 2010 (various conulariids);;Lower Fezouata Shale, Upper Fezouata shale;frequently occurs in monospecific mass associations (probable clumped distribution on the seafloor);;100-200 mm, even 500 mm (some smaller);;;;;;;;
40;Cnidaria;Scyphozoa (Sub-phylum Medusozoa);;Conulariida;Eoconularia sp.;sessile, benthic (often attached to brachiopods?), filter-feeding;Van Iten et al., 2016, Lefebvre et al., 2016 (indet.), Van Roy et al., 2010 (various conulariids);;Lower Fezouata Shale;frequently occurs in monospecific mass associations (probable clumped distribution on the seafloor);;<50 mm - 55 mm (en général plus petit);;;;;;;;
41;Cnidaria;Sub-phylum Medusozoa;;;Sphenothallus sp. 1;sessile, benthic, poss. filter-feeder (Neal and Hannibal, 2000);Van Iten et al., 2016, Van Roy et al., 2015;Locally common;Lower Fezouata Shale;;;15-60 mm;;;;;;;;
42;Cnidaria;Sub-phylum Medusozoa;;;?Sphenothallus sp. 2;sessile, benthic, poss. filter-feeder (Neal and Hannibal, 2000);Van Iten et al., 2016;;;;;;;;;;;;;
43;Cnidaria;Anthozoa;Octocorallia (sub-class);;Octocorallia?;;speciemen at Yale Peabody Museum;;;;;16 mm;;;;;;;;
44;Brachiopoda;Rhynchonellata;Orthida;Ranorthidae;Ranorthis fasciata;sessile, suspension feeder (Orthida);"Van Roy et al., 2015 ; Lefebvre et al., 2016";Common;Upper Fezouata Shale;;;;;;undet. Orthida - 10-15mm (YPM);;;;;
45;;Rhynchonellata;Athyridida;-;undet. Athyridida;;Yale Peabody Museum;;;;;14 mm;;;;;;;;
46;Brachiopoda;Lingulata;Lingulida;Acrothelidae;Acrothele sp.;sessile, suspension feeder (Acrothelidae);Lefebvre et al., 2016;;Lower Fezouata Shale;;;;;;;;;;;
47;Brachiopoda;Rhynchonellata;Orthida;Plectorthidae;Plectorthis simplex;sessile, suspension feeder (Orthida);Lefebvre et al., 2016;;Lower Fezouata Shale;;;;;;;;;;;
48;Brachiopoda;Rhynchonellata;Orthida;Angusticardiniidae;Angusticardinia sp.;sessile, suspension feeder (Orthida);Lefebvre et al., 2016;;Upper Fezouata Shale;;;;;;;;;;;
49;Brachiopoda;Lingulata;Lingulida;Lingulidae;Lingula salteri;sessile, suspension feeder (Lingulidae);Lefebvre et al., 2016, Van Roy et al., 2015;Common - Locally abundant;Upper Fezouata Shale;;;;;undet. Lingulida - 5-11 mm;;;;;;
50;Brachiopoda;Lingulata;Lingulida;Acrothelidae;Orbithele vana;sessile, suspension feeder (Acrothelidae);Lefebvre et al., 2016;;Upper Fezouata Shale;;;6-14 mm ????;;;;;;;;
51;Brachiopoda;Rhynchonellata;Orthida;Paurorthidae;Paurorthis tadristensis;sessile, suspension feeder (Orthida);Lefebvre et al., 2016;;Upper Fezouata Shale;;Paurothis (spelling mistake ?);;;;;;;;;
52;Brachiopoda;Rhynchonellata;Orthida;Heterorthidae;Tarfaya marocana;sessile, suspension feeder (Orthida);Lefebvre et al., 2016;;Upper Fezouata Shale;;;;;;;;;;;
53;Brachiopoda;-;-;-;Various other inarticulate taxa;suspension feeder (brachiopoda);Van Roy et al., 2015;;;not in feeding list;;;;;;;;;;
54;Brachiopoda;-;-;-;Various articulate taxa;suspension feeder (brachiopoda);Van Roy et al., 2015;;;not in feeding list;;;;;;;;;;
